X,Y,tyyp_t,korgus
682224.203000002,6413305.503,Korsten,"44"
688707.783,6412973.514,Korsten,"21"
685343.060000002,6418791.46,Korsten,"32"
688670.623000003,6418335.737,Torn,"30"
688811.530000001,6417996.18,Korsten,"27"
688650.420000002,6416770.17,Sidemast,"80"
697455.200000003,6417899.33,Sidemast,"80"
663486.452,6429865.761,Sidemast,"20"
679007.740000002,6420948.33,Korsten,"30"
677567.869999997,6421201.4,Sidemast,"81"
690860.873000003,6427398.784,Sidemast,"100"
691515.851000004,6427825.59,Sidemast,"80"
413109.539999999,6446293.86,Torn,"36"
411749.104999997,6454079.987,Torn,"30"
412150.880000003,6453747.82,Valgusmast,"19"
412120.963,6453665.098,Valgusmast,"28"
411516.640000001,6459717.05,Torn,"25"
411405.030000001,6459667.84,Korsten,"45"
412107.25,6458898.6,Korsten,"40"
412098.939999998,6458909.66,Korsten,"30"
410154.899999999,6457780.48,Korsten,"43"
410168.659999996,6457806.49,Korsten,"25"
410476.890000001,6459371.36,Korsten,"30"
411622.0,6459630.68,Sidemast,"85"
411274.719999999,6458072.15,Sidemast,"70"
411107.251000002,6457912.616,Torn,"19"
410930.079999998,6457706.68,Torn,"28"
410944.049999997,6457707.2,Torn,"24"
411147.744000003,6458013.475,Torn,"37"
410663.960000001,6457476.84,Torn,"18"
410702.75,6457266.17,Torn,"35"
411781.142999999,6458444.866,Torn,"20"
410732.18,6457251.39,Torn,"35"
412172.192000002,6455576.193,Torn,"15"
421852.899999999,6456407.03,Sidemast,"107"
415748.310000002,6462332.71,Korsten,"13"
423918.126000002,6468537.293,Sidemast,"100"
536406.579999998,6583306.99,Korsten,"30"
536236.039999999,6583090.54,Korsten,"60"
529032.325999998,6607602.678,Torn,"28"
621581.310000002,6407560.43,Sidemast,"45"
612892.649999999,6592948.9,Sidemast,"83"
612934.93,6593009.79,Sidemast,"82"
613692.126999997,6593188.935,Sidemast,"75"
598503.409999996,6602002.82,Korsten,"25"
597426.490000002,6604652.86,Sidemast,"99"
601246.07,6602635.37,Sidemast,"60"
612542.82,6604349.37,Sidemast,"92"
575996.75,6569059.13,Sidemast,"80"
578079.498000003,6567941.357,Sidemast,"100"
593982.178000003,6566627.791,Sidemast,"80"
596192.07,6568535.95,Korsten,"27"
500986.512999997,6566563.431,Korsten,"20"
508369.75,6565113.33,Korsten,"24"
509794.744999997,6569452.939,Torn,"17"
514384.141000003,6565812.625,Torn,"20"
514349.107000001,6566064.92,Torn,"18"
511928.920000002,6566257.82,Korsten,"30"
511976.450000003,6565834.7,Korsten,"30"
512476.982000001,6568939.124,Valgusmast,"30"
515931.009999998,6565935.533,Valgusmast,"20"
515953.017999999,6565915.981,Valgusmast,"20"
516071.853,6566264.817,Sidemast,"80"
506603.329999998,6572893.089,Torn,"25"
506987.732000001,6572433.866,Torn,"35"
503747.480999999,6579464.165,Korsten,"44"
503937.049000002,6579243.133,Sidemast,"85"
518687.960000001,6572493.12,Korsten,"25"
512780.903999999,6575701.973,Torn,"22"
513166.960000001,6575514.74,Korsten,"23"
517623.508000001,6576523.468,Sidemast,"52"
502367.873000003,6582791.865,Torn,"14"
506233.130000003,6580331.13,Korsten,"100"
512268.097000003,6583741.683,Korsten,"28"
513376.972999997,6582095.362,Korsten,"28"
513429.880000003,6582571.29,Sidemast,"60"
517383.550999999,6581622.151,Sidemast,"80"
515677.972999997,6584388.989,Sidemast,"60"
456376.960000001,6539498.07,Sidemast,"80"
456098.991999999,6539708.935,Sidemast,"85"
548632.068000004,6582373.622,Korsten,"20"
704834.417000003,6421480.097,Korsten,"29"
704847.009999998,6421399.98,Korsten,"19"
592231.093000002,6471737.912,Korsten,"18"
651568.592,6436050.459,Torn,"40"
574455.5,6464221.52,Sidemast,"82"
576504.850000001,6465233.71,Sidemast,"100"
583307.640000001,6469753.04,Korsten,"15"
544897.460000001,6479018.48,Sidemast,"80"
579137.609999999,6473261.07,Torn,"20"
584170.901000001,6478834.125,Korsten,"30"
584908.009999998,6479188.21,Sidemast,"81"
546121.939999998,6481218.1,Torn,"25"
588013.200000003,6467314.54,Torn,"20"
590092.390000001,6464099.25,Korsten,"30"
599151.105999999,6461084.661,Korsten,"15"
595313.571999997,6460043.045,Torn,"45"
592020.840000004,6469942.74,Korsten,"30"
592323.350000001,6469764.69,Korsten,"30"
592201.25,6468529.14,Korsten,"60"
594084.289999999,6468837.19,Sidemast,"84"
592320.134000003,6469818.853,Torn,"23"
595858.659999996,6469430.85,Sidemast,"87"
596504.939999998,6469241.25,Sidemast,"103"
595293.340000004,6469220.089,Sidemast,"100"
586871.420999996,6476626.648,Korsten,"35"
538990.229999997,6583572.61,Korsten,"16"
539374.280000001,6587429.0,Korsten,"130"
538914.090000004,6586475.99,Korsten,"60"
537551.549000002,6586893.507,Sidemast,"25"
536928.130000003,6588322.0,Torn,"23"
542053.495999999,6581991.493,Korsten,"27"
541282.539999999,6583201.42,Korsten,"44"
540988.983000003,6584375.691,Korsten,"15"
541071.609999999,6583573.0,Sidemast,"35"
541000.43,6584716.03,Sidemast,"24"
541346.909999996,6587167.09,Korsten,"18"
541667.469999999,6585804.46,Korsten,"40"
541903.719999999,6586776.43,Korsten,"33"
541857.869999997,6585757.75,Korsten,"63"
641038.324000001,6594554.279,Valgusmast,"15"
542350.609999999,6586359.15,Sidemast,"31"
580513.066,6534114.996,Korsten,"35"
542171.25,6586145.63,Torn,"27"
543867.450000003,6586858.46,Korsten,"20"
542309.399999999,6589025.93,Torn,"62"
541807.368000001,6559329.369,Sidemast,"100"
553705.484999999,6595047.427,Valgusmast,"30"
569210.794,6559449.804,Torn,"14"
659890.456,6475647.013,Korsten,"29"
542181.619999997,6589323.2,Torn,"42"
569025.450000003,6559678.65,Sidemast,"50"
547642.316,6601952.238,Sidemast,"36"
639926.939999998,6403201.626,Sidemast,"90"
621338.836000003,6405323.221,Sidemast,"30"
628387.895999998,6414951.47,Sidemast,"80"
629829.980999999,6415267.656,Torn,"23"
592441.079000004,6428516.313,Torn,"20"
598620.629000001,6429129.037,Korsten,"28"
570377.181000002,6439185.324,Torn,"15"
579492.439999998,6443668.89,Torn,"20"
580379.960000001,6443669.54,Korsten,"22"
580077.759999998,6443287.96,Korsten,"30"
645995.096000001,6437794.505,Korsten,"28"
585510.836000003,6447976.148,Torn,"10"
591619.329999998,6440812.13,Torn,"36"
590536.25,6443664.69,Korsten,"22"
591777.969999999,6440626.272,Sidemast,"80"
540307.978,6591336.293,Valgusmast,"29"
592408.572999999,6440156.55,Sidemast,"40"
513200.005000003,6583018.73,Torn,"33"
619694.236000001,6477014.038,Sidemast,"100"
590960.741999999,6452047.78,Korsten,"22"
593216.560000002,6456536.32,Sidemast,"80"
593964.762000002,6456151.632,Sidemast,"100"
614826.0,6429536.98,Korsten,"30"
476041.158,6490163.279,Torn,"25"
614527.502999999,6429574.184,Sidemast,"100"
611476.627999999,6429900.707,Sidemast,"90"
609141.409999996,6434046.16,Korsten,"27"
608584.596000001,6434305.843,Sidemast,"24"
612250.390000001,6430187.15,Korsten,"21"
613908.93,6431273.21,Korsten,"28"
613686.18,6430723.25,Korsten,"16"
609620.656999998,6456519.749,Sidemast,"100"
690125.873000003,6443242.062,Korsten,"22"
607834.441,6441439.726,Torn,"20"
605130.630000003,6446069.42,Torn,"20"
605792.368000001,6445547.886,Sidemast,"80"
695162.608999997,6442059.614,Sidemast,"55"
615638.134000003,6447525.182,Sidemast,"82"
615615.792000003,6446495.164,Torn,"20"
500972.648999996,6565488.831,Korsten,"27"
592782.200000003,6472986.14,Korsten,"26"
593707.399999999,6470821.18,Korsten,"32"
593196.222000003,6472383.031,Korsten,"25"
593018.953000002,6470015.593,Korsten,"37"
594007.362999998,6470509.072,Korsten,"30"
659836.269000001,6476425.815,Sidemast,"28"
593126.869999997,6470383.79,Torn,"30"
593557.987999998,6470361.08,Torn,"26"
592597.729999997,6470033.12,Torn,"27"
593737.82,6470267.22,Torn,"23"
595019.791000001,6471145.877,Korsten,"30"
