"date","city","name","offer","price"
"2018-03-27","Tartu","Asian Chef","INDIA. ALOO MUTTER ** Kartulid ja rohelised herned India kastmes",3.95
"2018-03-01","Tartu","Kotka Kelder","Soe salat pikapoisiga",3.8
"2018-01-29","Tallinn","Tatari Söögituba","Kanafilee chilli ja ananassiga",5.65
"2018-04-24","Tallinn","Ancho","Köögivilja ja guacamole riisi burrito salsa verdega",4.5
"2018-03-15","Tartu","Asian Chef","TAI. SATAY BEEF * Mahedamaitseline Tai loomalihatoit",3.95
"2018-01-17","Tallinn","Pärnu mnt Amps","Lillkapsapüreesupp",2
"2018-01-30","Tallinn","Restoran Spot","Õrnalt suitsutatud sea sisefilee köögiviljade ja veinikastmega",5.5
"2018-04-12","Tallinn","Tammsaare Ärikeskuse Daily","Kapsašnitsel juustuga**",1.2
"2018-01-22","Tallinn","Ancho","Köögivilja fajita salsa verde ja avokaadoga",4.5
"2018-04-12","Tallinn","Galerii kohvik & bistroo","Makaronid hakklihaga",3.4
"2017-10-30","Tallinn","Must Puudel","Brokkoli-juustusupp",3
"2018-01-04","Tallinn","Kotlet","Kooreklops veisefileest",4.9
"2018-03-06","Tallinn","Vernalia kohvik","Seljanka",2
"2018-05-04","Tallinn","Pärnu mnt Amps","Küpsetatud köögiviljad",3.6
"2017-12-19","Tallinn","Malltop Restoran","Creme brülee",2.8
"2017-11-22","Tallinn","Gelsomino pizzeria","Soome kalasupp",4
"2018-04-04","Tallinn","Ag cafe","Kartuli-porgandikotletid",3.9
"2018-04-19","Tartu","Hot Pot","CHICKEN NOODLE SOUP * Kana-nuudli supp",2.5
"2018-03-19","Tallinn","Gelsomino pizzeria","Pelmeenid või ja hapukoorega",5
"2018-08-15","Tartu","Tartu Ränduri pubi","Juustupüreesupp",2.7
"2018-06-12","Tallinn","Tark Catering","Pannkoogid singi, juustu ja hapukoorega",2.5
"2018-07-25","Tallinn","Sileri Köök","Ljulja-kebab",3.5
"2018-06-28","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Mulgikapsas sealihaga",4.2
"2018-06-28","Tallinn","Reval Café Müürivahe","Tomati-köögiviljasupp läätsedega (L)",3.2
"2017-10-16","Tartu","Trikster Tihane kohvik-resto","Paneeritud kalkunifilee tillikartuli ja rohelise pipra kastmega",4
"2018-08-08","Tallinn","Tammsaare Ärikeskuse Daily","Külm supp",2.55
"2018-03-19","Tallinn","NO99","Sealihašnitsel tatra ja šampinjonikastmega",5.5
"2017-12-01","Tartu","Vapiano","Pasta - Pomodore emozzarella / Crema di pollo / Bolognese",4.9
"2017-12-08","Tallinn","Umami Resto","Krõbe kana burger marineeritud ingveri-jääkapsa salati ja Umami friikartulitega",5.9
"2018-03-20","Tartu","Aardla TOIT","Kodune kebab",3.5
"2018-06-26","Tallinn","City Plaza","Lihaseljanka",5.4
"2018-01-30","Tallinn","Kompass","Ahjupraad seenekastmega",5
"2018-05-02","Tallinn","TTÜ IT maja Daily","Kartuli, roheliste ubade ja tomati hautis",2.9
"2018-05-08","Tallinn","Tatari Söögituba","BBQ searibi",5.65
"2018-01-19","Tallinn","iO restoran","Kanasupp",4
"2018-05-08","Tallinn","Tähesaju Kohvik","Täidetud kartulikotlet hakklihaga",2.8
"2018-05-28","Tartu","Rebase Söögituba","Ahjuliha punase veini kasmtega",3.9
"2018-01-30","Tallinn","Amps Merimetsa","Tomati-basiilikukreemsupp L",3.2
"2017-12-20","Tartu","Cafe Shakespeare","Värskekapsasupp *",2.6
"2018-04-03","Tartu","Aleksander","Kodused kotletid",4.45
"2018-03-08","Tallinn","Veski Kõrts","Požarski kotletid",4.9
"2017-12-19","Tallinn","Kohvik Tüll","Kodune seljanka",1.4
"2018-06-20","Tartu","Entri","Profitroolid kohupiimakreemiga",2
"2018-01-18","Tallinn","Rucola","Päevapitsa: Suitsutatud speck sink, parmesan, rukola",5.9
"2018-07-10","Tallinn","Lavendel Café","Loomaliha juustukastmes",4.5
"2017-11-24","Tartu","Fii Restoran","Aedvilja-falafel vürtsika salatiga",5
"2017-12-15","Tartu","Entri","Grillitud sealiha kartulisalatiga",3.2
"2018-04-24","Tallinn","Tööstushariduskeskuse Daily","Veisestrooganov",2.7
"2017-11-10","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Lõhekotlet",5.3
"2018-08-15","Tartu","Hot Pot","TAI. SATAY BEEF* Mahedamaitseline Tai loomalihatoit",4.5
"2018-02-14","Tallinn","Lasnamäe 2 Daily","Kartuli-hakklihavorm",3.2
"2018-01-22","Tallinn","Gelsomino pizzeria","Praetud pelmeenid tomatite ja tšillipipraga",5
"2018-06-20","Tartu","Burro","Veiseliha BBQ kastmes",4.5
"2017-10-25","Tallinn","Al Mare Grill","UUDIS! Grillitud lõhefilee vokitud köögiviljadega",5.5
"2018-02-01","Tartu","Fasters Grill-Buffee","Paneeritud mintaifilee juustuga, nostalgia šašlõkk, seapraad, seašašlõkk, kanašašlõkk, grillkotlet, Ljulja kebab,grillribi,ahjukartul, keedukartul, praekapsas, riis, tatar, värske salat,soe kaste,kastmed 100g",0.99
"2018-04-19","Tartu","Kohvik Paul","Kartulivorm singi ja juustuga",4.2
"2017-11-09","Tallinn","Lavendel Café","Guljašš-supp",1.4
"2018-08-13","Tartu","Trikster Tihane kohvik-resto","Röstitud kõrvits kartulipüree ja spinatikastmega",4.7
"2017-12-22","Tallinn","Tammsaare Ärikeskuse Daily","Läätsevorm päikesekuivatatud tomatitega",1.2
"2018-02-06","Tartu","Ülejõe kohvik","Lõunabuffee 100g",0.9
"2018-01-30","Tallinn","Siili Pubi","Kala-frikadellisupp",1.9
"2018-03-28","Tartu","Werner","Tomatine kalasupp",2.5
"2018-02-02","Tartu","Hot Pot","INDIA. ALOO MUTTER ** Kartulid ja rohelised herned India kastmes",4.5
"2018-01-15","Tallinn","Kristiine Bistroo","Karbonaad seenekastmes",6
"2018-08-09","Tallinn","Rotermanni Basiilik","Lõhefileerull, kartuli-spinatipüree, estragoni- koorekastme ja punase kapsa salatiga",6.7
"2018-02-06","Tartu","Loorber","Tomatipüreesupp",2
"2018-06-26","Tallinn","Galerii kohvik & bistroo","Frikadellisupp",2
"2018-01-16","Tallinn","TTÜ peahoone Daily","Seapraad kadakamarjadega",4.2
"2017-11-14","Tartu","MP Bufee","Hakklihakaste, kartuliga ja salat",3.5
"2018-07-13","Tallinn","T-Kohvik","Kartuli-seenetäidisega kotlet",3.5
"2018-03-21","Tallinn","Reval Café Kumu","Kodune kotlet ahjukartulite, sooja kastme ja terava kurgiga",4.8
"2017-11-30","Tallinn","Siili Pubi","Sealiharulaad ploomidega",3.8
"2018-04-12","Tallinn","MySushi Stockmann","Beseerull mandlilaastude toorjuustuga ja marjadega (100 gr)",2.9
"2018-05-07","Tallinn","TEXAS Honky Tonk & Cantina","KANALIHAENCHILADAD köögiviljade, juustu, ubade & värske salatiga",4.99
"2018-07-25","Tallinn","Pärnu mnt Amps","Vürtsikas veiseliha kikerhernestega",4.2
"2017-11-16","Tallinn","Amps Merimetsa","Kana-klimbisupp",2.6
"2017-11-16","Tallinn","Nordea Maja Daily","Kartulikoorikus praetud heik",3.5
"2018-03-06","Tallinn","Kathmandu Hill","Kanafilee seentega musta oa kastmes",5.5
"2018-02-01","Tartu","Kohtu Kohvik","Kana-vermisellisupp",1.3
"2018-07-10","Tallinn","Babulja kohvik-kokteilibaar","Kartuli-hakklihavorm salatiga",5.2
"2018-01-02","Tallinn","FREDO Köök&Baar","Böfstrooganov, kartulipüree ja marineeritud kurgi salsaga",5
"2018-06-29","Tallinn","Tatari Söögituba","Šampinjoni-püreesupp juustuga(L)",2.35
"2018-03-30","Tartu","Pierre","Virsiku-kohupiimakook",2.5
"2018-04-24","Tallinn","Kamikadze Grill","Seašnitsel ahjukartulitega",3.9
"2018-02-12","Tartu","Vaga Mama","Nepaali: Aloo Gopi",3.5
"2018-03-02","Tartu","Fii Restoran","Lasagne värske salatiga",6
"2018-05-25","Tallinn","Foodproff Bistroo","Pikkpoiss tomati ja suitsujuustuga",3.9
"2018-05-09","Tartu","Tartu Kõrgema Kunstikooli kohvik","Koorene kanasupp",1.5
"2018-04-04","Tallinn","Lasnamäe 2 Daily","Burrito hakklihaga **",1.2
"2018-05-08","Tallinn","Tammsaare Ärikeskuse Daily","Karrine baklažaanihautis tomatiga**",1.2
"2018-03-19","Tallinn","Reval Café Pärnu mnt","Maisipaneeringus kanafilee punase bulguri, küüslauguse spinati-majoneesikastme ja kapsa-porgandisalatiga",4.8
"2018-07-27","Tartu","Hektor Cafe","Veiseliha kooreklops, värske kartul, soolakurk",4
"2018-08-16","Tallinn","Ubin bistroo","Röstitud bataat",4.5
"2018-05-15","Tallinn","iO restoran","Spaghetti Carbonara",4
"2018-04-24","Tallinn","TTÜ Keemiainstituudi Daily","Köögiviljalasanje",2.9
"2018-01-18","Tallinn","Restoran Lyon Viru","Suvikõrvitsa-hakklihakotletid köögiviljakuskussi, redisesalati ja munaga Tatari kastmega",6.5
"2018-01-19","Tallinn","Meat & Burger","Kana nuudlisupp",2.5
"2017-11-16","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Kanafilee singi ja juustuga",5.7
"2018-07-24","Tallinn","Mets Restoran","Kanapaella",3.5
"2018-08-16","Tallinn","Restoran Lyon Viru","Lyoni kitsejuustusalat pähklite ja avokaadokreemiga",4.9
"2018-04-27","Tallinn","Restoran Lyon Viru","Juustuga kanakotlet köögiviljatatra, granaatõunasalati ja seene-sibulakastmega",6.5
"2018-01-16","Tallinn","Restoran Sardiinid Pirital","Kotletid kartulipüree ja peedisalatiga",5.5
"2018-02-06","Tartu","Pierre","Kikerhernesupp kookospiimaga",2.5
"2018-03-09","Tartu","Fii Restoran","Lihapallid riisiga Tom Yum kastmes",6
"2018-03-01","Tartu","Entri","Kohupiimapallid",1.8
"2018-02-26","Tallinn","Ubin bistroo","Porgandipüreesupp",1.9
"2018-05-04","Tallinn","Ubin bistroo","Porgandi- apelsinipüreesupp",2.1
"2018-04-26","Tallinn","Rävala Daily","Ahjuvormiroog sealiha ja köögiviljadega",4.2
"2017-12-14","Tallinn","Kotlet","Praetud loomamaks seente ja sibulaga",4.2
"2018-06-25","Tallinn","Rävala Daily","Juustukoorikus kanafilee",4.9
"2018-05-09","Tartu","KarriTehas","Natuke mõlemast (50/50)",3.75
"2018-06-15","Tallinn","Mustikas Kohvik","Kapsarullid",3.5
"2018-07-16","Tallinn","F-hoone","Hapuoblikasupp sealihaga",2
"2018-06-26","Tallinn","T-Kohvik","Lihaseljanka",3.6
"2018-01-12","Tartu","Eesti Maaülikooli Daily","Kalkuni- karrikaste virsikutega",2.2
"2018-05-10","Tallinn","Ubin bistroo","Kartuli- porrupüreesupp",2.1
"2017-11-17","Tallinn","Fantaasia Resto","Päevasupp",3.5
"2017-10-26","Tallinn","Amps Merimetsa","Kana küüslaugukastmes G",3.5
"2018-03-05","Tartu","Newton Kohvik","Köögivilja- grillvorsti pajaroog riisis ja toorsalatiga",3.5
"2018-03-21","Tallinn","Fantaasia Resto","Chicken Noraani Kana Noraani",4.95
"2018-03-13","Tallinn","Restoran Platz","Kodune kapsa-lihahautis ahjukartuliga",5.8
"2017-12-06","Tallinn","Vernalia kohvik","Tšahohbili kanaga",3.6
"2018-07-02","Tallinn","Bosphorus","Kanasupp seentega",2.5
"2018-01-23","Tallinn","Maiasmokk Kohvik","Kodune kotlet keedukartuli ja salatiga",5
"2018-05-07","Tallinn","Reval Café Kumu","Kanavarras ahjukartuli-porgandisegu, tomatikastme ja värske salatiga (L)",4.8
"2018-01-01","Tallinn","Apelsini Raudtee Resto","Veiseliha kotlet juustuga",5.9
"2018-04-24","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Kartuli-köögiviljakotlet (TAIMETOIT)",5.1
"2017-12-12","Tallinn","Rucola","Päevapitsa: peekon, baklažaan, artišokk",5.9
"2018-08-02","Tallinn","Kopli Restoran","Külm kurgi- spinatisupp",3
"2018-02-23","Tartu","Pahad Poisid","Mooritud kanaliha friikartulite, cheddar juustu kastme ja toorsalatiga",3.7
"2018-04-02","Tallinn","Mets Restoran","Sealiha adžikakastmes",4.9
"2018-03-13","Tallinn","TTÜ IT maja Daily","Borš hapuoblikate ja sealihaga",2
"2018-01-18","Tallinn","Veski Kõrts","Koorene kanapasta",4.1
"2018-03-09","Tartu","Rebase Söögituba","Makaroni-kanalihavorm",2.7
"2018-05-02","Tallinn","PM20","Ahjus küpsetatud ribi riisi ja kapsa-porgandisalatiga",5.5
"2017-10-16","Tartu","KebabPizza","Nädalapizza+klaas mahla(pizzskaste,hakkliha,punane sibul,paprika,riivjuust)",4.2
"2018-05-25","Tallinn","Luminor Maja Daily","Kreemine tatrapuder seente ja kana kintsulihaga Fitlap**",1.2
"2018-03-21","Tallinn","Järve Amps","Searull jalapeno, singi ja juustuga",5.6
"2018-04-26","Tallinn","Gourmet Coffee City","Ahjukartul vürtsika peekonikastmega",5.5
"2017-10-27","Tartu","Hektor Cafe","Köögiviljawok punapeediga (vegan)",4
"2018-07-10","Tallinn","MySushi Torupilli","Rioto maki-8tk (hiidkrevett, lumekrabi, philadelphia, tamago) + Aikoi Tempura maki-8tk (lumekrabi, mozzarella, terav kaste)",8.88
"2017-12-29","Tallinn","Galerii kohvik & bistroo","Kanašnitsel",5.1
"2018-01-17","Tallinn","Tatari Söögituba","Porgandi-kohupiimavorm mandlilaastudega(L;G)",3.95
"2018-04-16","Tallinn","Rucola","Salat: Burrata, värske tomati-rukola salat",5
"2018-01-19","Tallinn","TKTK Amps","Lihapallid vütsikaskastmes",2.4
"2018-04-02","Tallinn","Veski Kõrts","Jahimehesupp suitsulihaga",1.9
"2018-05-07","Tallinn","Kärbes Kitchen&Bar","Päevasupp",3
"2017-10-26","Tallinn","Veski Kõrts","Hakkliha-riisipallid",3.1
"2017-11-28","Tartu","Fasters Grill-Buffee","Vaarika toorjuustukreeem",1.5
"2018-04-27","Tallinn","TTÜ Keemiainstituudi Daily","Sealiha - pastaroog tomati ja basiilikuga (päevapraad)",2.3
"2017-11-14","Tartu","Mandala Restoran","Chana kikerhernekarri köögiviljadega",3.5
"2018-01-29","Tallinn","Rucola","Päevadessert: Laimikook",2.9
"2018-04-27","Tallinn","Hell Hunt","Kanafilee ananassi ja juustuga, ahjukartulitega",3.1
"2018-01-19","Tallinn","iO restoran","Pennte arrabiata",4
"2018-01-01","Tallinn","Reval Café Kumu","Juustu ja lõhetäidisega kartul tartar-kastme ja coleslaw-salatiga",4.5
"2018-06-29","Tallinn","FREDO Köök&Baar","Tom-Kha",3
"2018-01-03","Tallinn","Art-Salong Grao","Küpsetatud sealiha ratatouillega",3.9
"2018-08-07","Tallinn","Must Puudel","Must riis lõhekastmega",5.5
"2018-06-06","Tallinn","Ag cafe","Kanakoivad tex kastmes",4.5
"2018-06-14","Tallinn","Audentese Spordikeskuse Daily","Hautatud ja rebitud veiseliha",3.8
"2018-07-31","Tallinn","Rävala Daily","Vürtsikas sealiha - nuudliroog",4.5
"2018-01-15","Tallinn","Golden Goose","Sealiha prantsuse moodi,ahjukartul ja toorsalat",3.5
"2018-08-16","Tallinn","Kristiine Bistroo","Ahjukala remulaadkastmega",5.3
"2017-11-29","Tallinn","Carmen Cafe Rotermann","Guljašš-supp",3.5
"2018-07-18","Tartu","Newton Kohvik","Pilaff toorsalatiga",3.5
"2018-08-06","Tartu","Meat Market","Nädalat alustame kana lollipopiga. Saatjaks värske kartul, coleslaw salat ja kastme duo.",5.9
"2018-01-24","Tallinn","Rävala Daily","Mulgikapsad sealihaga",4.2
"2018-01-01","Tallinn","Black Mount pubi","Loomaliha stroganov",3.4
"2017-11-16","Tallinn","Kristiine Bistroo","Salatibuffee valik 100g",1.05
"2018-06-04","Tartu","Liisi Kohvik","Seljanka",2
"2018-07-09","Tallinn","Restoran Lyon Viru","Koorene kalasupp lõhe ja klaarsägaga",3.9
"2018-04-16","Tallinn","Art-Salong Grao","Komplekslõuna supp+praad",4.6
"2018-04-04","Tallinn","Chapters Boutique Cafe","Seenesupp",3
"2018-04-12","Tallinn","Mustikas Kohvik","Tortilla köögiviljatäidisega",3.5
"2018-03-09","Tartu","Aardla TOIT","Praad+supp",5
"2018-03-15","Tartu","DuNord Ujula 2 Ujula Konsumis","Praetud saidafilee",3
"2017-12-13","Tartu","Pierre","Õrn astelpaju-apelsini kana, ürdiriis, koorene röstpaprika-sinepikaste",4.5
"2017-10-31","Tallinn","T-Kohvik","Pikkpoiss peekoniga",4.2
"2017-11-08","Tallinn","Mets Restoran","Brokkolipüreesupp sinihallitusjuustuga",1.9
"2017-11-30","Tallinn","Mets Restoran","Värskekapsasupp lihaga",1.6
"2018-03-21","Tallinn","Frenchy","Veise steik kartuli püreega, punase veini kaste",4.9
"2018-07-19","Tallinn","Lavendel Café","Praetud sealiha sibulaga",4.5
"2018-03-29","Tartu","Kohvik Rabarber","Lillkapsapüreesupp",2
"2017-12-22","Tallinn","Ubin bistroo","BBQ kalkun",4.9
"2018-05-25","Tallinn","iO restoran","Tagliatelle lõhega",5
"2018-01-11","Tallinn","Tööstushariduskeskuse Daily","Aasiapärane kana - nuudlisupp",1.2
"2018-04-06","Tallinn","Amps Merimetsa","Seljanka",3.2
"2018-02-08","Tallinn","Kohalik kohvik","Räimekotlet keedukartuli ja kodujuustukastmega",4.5
"2018-07-11","Tallinn","Magdaleena Cafe","Läätseroog päikesekuivatatud tomatitega",3.9
"2018-03-15","Tartu","JOP Antonius kohvik-resto","Täidetud paprika",4.5
"2018-05-03","Tallinn","Bosphorus","Veiseliha kooreklops",4.5
"2018-07-19","Tallinn","Reval Café Müürivahe","Singi-juustutäidisega kanatasku riisi, jogurtikastme ja Hiina kapsa salatiga (SG)",4.8
"2018-05-21","Tallinn","Tark Catering","Juustuküpsised",2
"2018-06-25","Tallinn","Restoran ""100""","Päevadessert/ Dessert of the day",3.5
"2018-01-23","Tallinn","Restoran Lyon Viru","Pähklipaneeringus kanafilee veinimekiste köögiviljade, fenkoli-sidrunisalati ja koore-sibulakastmega",6.5
"2018-07-26","Tallinn","Golden Goose","Okroška suvine külm supp(keefiri/kali)",2.5
"2018-07-02","Tallinn","Luminor Maja Daily","Külm kurgisupp keefiriga",1.9
"2018-03-07","Tallinn","Kohalik kohvik","Sealiha guljašš tatra ja peedi-küüslaugusalatiga",4.5
"2018-04-02","Tallinn","Järve Amps","Kodujuustukaste",3.5
"2017-11-15","Tallinn","More Cafe","Baklažaani-mozzarellavorm",5.4
"2017-12-21","Tallinn","Taqueria - Tacos & Drinks","Tuunikala supp krõbeda tortillaga",3.5
"2017-11-07","Tallinn","Lavendel Café","Hakklihapallid",2.8
"2018-01-15","Tallinn","Magdaleena Cafe","Värskekapsaborš",2
"2018-04-26","Tallinn","Nõmme Pubi","Hakkliha-tomatisupp",2
"2018-02-19","Tallinn","Al Mare Kohvik & Bistroo (Teaduspargi)","Mitmekala uhhaa",2.95
"2017-11-03","Tartu","Tartu Ränduri pubi","Rassolnik",2.7
"2018-04-11","Tartu","Cafe Shogun","Kana-klimbisupp",1.7
"2017-11-15","Tallinn","Bibikohvik","Koorene riisiroog",4
"2018-07-02","Tallinn","Sikupilli Basiilik","Kitsejuustusalat kirsstomati, meloni ja maasikatega",6.1
"2018-04-20","Tartu","Liisi Kohvik","Rootsilaud: praad, supp, salat, köögiviljad 100g",1.2
"2018-05-02","Tallinn","Tark Catering","Kookose küpsised 3 tk",1.5
"2018-01-30","Tallinn","Must Puudel","Kõrvitsa püreesupp",3.5
"2018-05-03","Tallinn","Kristiine Bistroo","Hakklihakaste",3.95
"2018-03-28","Tartu","Hot Pot","HIINA. CHICKEN IN HOT GARLIC SAUCE * Kanafilee lõigud küüslaugu kastmes",3.5
"2018-02-22","Tallinn","Kitchen Rõõm","Krõbedane kana supreme",5
"2018-02-14","Tallinn","Järve Amps","Öko 7-täisterahelbepuder iidse teraga / Kaerahelbepuder",1.5
"2017-11-29","Tallinn","Monroe Cafe&Lounge","Päevasushi (uramaki) Jaapani omleti, kurgi & toorjuustuga",5.5
"2018-06-21","Tartu","Da Vinci pasta & pizza","Kreemjas lillkapsa püreesupp krõbeda peekoniga",3.2
"2018-05-03","Tallinn","F-hoone","Koorene Seenepüreesupp leivakrõpsuga",2
"2017-11-23","Tartu","Hot Pot","HIINA. OYSTER PORK Sealiha austrikastmes",3.5
"2017-12-25","Tallinn","Kalevi Jahtklubi Resto","Frikadellisupp",3
"2017-11-01","Tartu","Peipsimaa maitseelamused take away","Ôlletaignas ahvenafilee praad +kana-nuudlisupp",5
"2018-02-26","Tallinn","Black Mount pubi","Kanafilee strogonov",3.5
"2018-01-19","Tallinn","Lasnamäe 2 Daily","Praetud tilaapia juustu ja spinatiga",3.5
"2018-04-18","Tallinn","Ristikheina Kohvik","Tom kha kalaga",3.5
"2017-12-07","Tallinn","Amps Merimetsa","Röstitud aedviljad tüümiani ja sinihallitusjuustuga",4.6
"2017-11-24","Tartu","Reeda Pagari kohvik","Pannkook maasika toormoosiga",2.5
"2018-01-30","Tallinn","Prima Pizza&Pasta","Spagetid Bolognesekastmega",4
"2018-06-06","Tallinn","Apelsini Raudtee Resto","Nädala magus",3
"2018-05-25","Tallinn","MySushi Mere puiestee 4","Beseerull mandlilaastude toorjuustuga ja marjadega (100gr)",2.9
"2017-11-13","Tallinn","Kitchen Rõõm","Sealiha prantsuse moodi",4
"2017-12-06","Tallinn","Reval Café Postimaja","Seljanka veiselihaga",3.5
"2018-03-01","Tartu","Tartu Kõrgema Kunstikooli kohvik","Hakklihatasku",3.2
"2018-04-26","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Tortilla kanalihaga",4.1
"2018-05-21","Tallinn","Muusika- ja Teatriakadeemia Daily","Kodune hakklihakaste",2.5
"2018-06-12","Tallinn","Reval Café Perh Aatriumi","Tomati-juustutäidisega hakkbiifsteek keedukartulite, hapukoore-seenekastme ja kurgi-sibulasalatiga (SG)",4.5
"2018-05-07","Tallinn","Magdaleena Cafe","Karbonaad hapukapsaga",5
"2018-01-23","Tallinn","Grenka Kohvik","Kodused pelmeenid",5.6
"2018-05-23","Tartu","Fasters Grill-Buffee","Kihiline magustoit",1.5
"2017-10-27","Tartu","Umb Roht","Röstitud searibi brokkoli, paprikasalati ja teriyaki kastmega",5
"2017-12-13","Tartu","Himaalaja jutud","Supp: Kreemine tomatisupp",2.2
"2018-06-15","Tallinn","Cubanita Live Cafe","Smuuti mustsõstraga",2
"2018-05-18","Tartu","Krempel Kohvik","Vegan tomatisupp",3.5
"2018-05-07","Tallinn","MySushi Mere puiestee 4","Kana magushapus kastmes, basmati riisi ja värske salatiga",5.5
"2018-02-09","Tallinn","TKTK Amps","Kana kotletid(L)",2.95
"2018-04-25","Tartu","Restoran Tšehhov","GI - Kalkunipallid sinepikastmes köögivilja tagliatellega",8
"2018-01-25","Tartu","Kohvik Rabarber","Kala-kookosepiimasupp",2
"2017-10-19","Tartu","Vilde ja Vine","Šnitsel ürdikartulite, värske salati ja koorese kastmega",3.9
"2018-08-13","Tartu","Pubi RP9","Puusöeahjus Josper küpsetatud sealiha šašlõkk, ahjukartuli, värske-kapsasalati ja sooja kastmega",4.2
"2017-12-06","Tallinn","Sileri Köök","Kodune kotlet",3
"2018-08-14","Tallinn","Amps Merimetsa","Veiselihaguljašš-supp L",3.2
"2017-12-19","Tallinn","August Kohvik","Soe röstitud köögiviljasalat küüslaugu krutoonide ja palsamikreemiga",5
"2018-01-01","Tallinn","T-Kohvik","Kikerherneroog",3.5
"2018-02-26","Tallinn","Tark Catering","Granola Kreeka jogurtiga",2.5
"2018-05-31","Tartu","Karlova Kohv","L: toortatar ahjubataadi ja porgandi-sibulasalatiga",4.6
"2018-02-28","Tartu","Göök","Vaarika juustukook (V)",2.5
"2018-05-03","Tallinn","Viimsi Subway","Päeva SUB - Spicy Italian",2.65
"2017-12-25","Tallinn","Kitchen Rõõm","Komplekt supp ja praad",6.2
"2018-01-26","Tartu","Kivilinna kohvik","Suitsulihasupp",1.3
"2018-03-07","Tallinn","Muusika- ja Teatriakadeemia Daily","Sealihastrooganov",2.5
"2018-08-03","Tartu","Reeda Pagari kohvik","Hapukapsaborš",2.5
"2018-02-27","Tartu","Kohvik Paul","Veiseliha kastmes",4.2
"2018-01-05","Tallinn","Rävala Daily","Hakklihakaste värskete ürtidega",4
"2018-08-07","Tallinn","Pärnu mnt Amps","Grillvorst",3.5
"2018-02-20","Tartu","Illegaard","Veganburger friikartulite või coleslaw salatiga",3.8
"2018-05-28","Tartu","Smile Cafe","Kana šnitsel, keedukartul tilliga, porgandi ja ananassisalat, kaste ja majaleib",3.9
"2018-08-09","Tallinn","Cafe Lyon Meistri","Kartulisalat rebitud sealihaga",4.5
"2018-05-25","Tallinn","Pulcinella Itaalia Restoran","Päevasupp",3.5
"2017-10-18","Tartu","Tartu Kohvik","Kana-klimbisupp",2.2
"2018-01-02","Tallinn","Ubin bistroo","Tomatine veiseliha",4.9
"2018-08-16","Tallinn","Tatari Söögituba","Veiseliha grillitud köögiviljadega",5.85
"2018-04-18","Tallinn","Golden Goose","Frikadellisupp",2.5
"2018-07-17","Tartu","Umb Roht","Kartuli-peekonivorm avokaadosalati ja rosmariinikastmega",6
"2018-03-21","Tallinn","Gelsomino pizzeria","Kanasupp",4
"2018-04-13","Tartu","Hektor Cafe","Veiselihaburger coleslaw salatiga",4
"2018-02-26","Tallinn","Al Mare Grill","Grillitud seavälisfilee paprika-suitsujuustu kastmes",5.7
"2018-01-17","Tallinn","Marii Bistroo","Kana poolkoivad",3.8
"2018-04-26","Tallinn","MySushi Stockmann","Aasiapärane kalasupp kookospiimaga",3.9
"2018-08-01","Tallinn","Luminor Maja Daily","Itaaliapärane frikadelisupp spinatiga",1.9
"2018-01-30","Tallinn","Tatari Söögituba","Porgandi-kodujuustuvorm(L;G)",3.95
"2018-05-02","Tallinn","Galerii kohvik & bistroo","Küüslaugune BBQ seaparaad",5.2
"2018-05-16","Tartu","Kohvik Spargel","Naadi-suitsusingi supp",2
"2017-12-19","Tallinn","Reval Café Telliskivi","Lasanje kanahakkliha, toorsalati ja basiilikukastmega (SG)",4.5
"2018-05-07","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Grillitud bbq veisepihv",5.35
"2018-04-24","Tallinn","Kohvik Tüll","Guljash sealihast",3
"2017-12-22","Tallinn","TKTK Amps","Kanafilee magus-hapuskastmes(L)",3.2
"2018-01-04","Tallinn","Endla 4 Daily","Hakklihalasanje",3.5
"2017-11-03","Tartu","KarriTehas","Köögivilja Karri",3.5
"2017-11-27","Tartu","Villa Margaretha","Pilaff",3.75
"2018-08-03","Tartu","Reeda Pagari kohvik","Strogonov kuramaa moodi, kartul, kaste, salat",4
"2017-11-16","Tallinn","Ancho","Enchiladas verdes taimetoitlastele - ahjus küpsetatud maisitortillad täidetud köögiviljadega, kaetud tomatillo kastme ja juustuga",4.5
"2018-05-07","Tallinn","Herne Kohvik","India pärane kanasupp",2.2
"2017-12-14","Tallinn","Margarita Restoran","Selge lõhesupp",2.5
"2018-05-02","Tallinn","Tööstushariduskeskuse Daily","Kartuli - sealihasupp spinatiga",1.2
"2018-08-09","Tallinn","Luminor Maja Daily","Külm hapuoblikasupp keefiriga",1.9
"2018-03-08","Tallinn","Reval Café Tere","Hernesupp suitsulihaga (L)",3.2
"2018-07-26","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Lõhesupp",2.05
"2017-11-09","Tallinn","Endla 4 Daily","Veiselihaguljašš",2.5
"2018-07-25","Tallinn","Vernalia kohvik","Okroška külmsupp keefiri/kalja põhjal",2.4
