"date","city","name","offer","price"
"2018-06-20","Tartu","Emajõe Pruulikoda","Hiinapärane kanasupp",2.5
"2018-03-19","Tallinn","TKTK Amps","Kanafilee-köögiviljarullid",3.2
"2018-04-04","Tallinn","Lasnamäe 2 Daily","Mee ja sinepiga kana poolkoivad köögiviljadega Fitlap **",1.2
"2018-03-21","Tallinn","Magdaleena Cafe","Hakk-beefseak munaga",4.8
"2018-04-04","Tallinn","Bosphorus","Seakarbonaad prantsuse moodi",4.5
"2018-05-10","Tallinn","T-Kohvik","Tomatine kalasupp",3.1
"2018-01-05","Tallinn","Pärnu mnt Amps","Pasta suitsukala ja sibulaga",3.5
"2018-02-21","Tartu","Meat Market","Grillitud veise välisfilee, pastinaagikreemi ja ahjujuurikatega",5.9
"2018-07-31","Tallinn","iO restoran","Penne kanaga koorekastmes",6
"2018-01-19","Tallinn","August Kohvik","Brussels sprouts and bacon in white wine with smashed potatoes and greens",5
"2017-12-12","Tallinn","Pererestoran Seller","Kana-riisi kulebjaka",5.5
"2018-08-16","Tallinn","Lavendel Café","Seljanka",1.4
"2018-01-10","Tartu","Newton Kohvik","Guljaššsup veiselihaga",2.2
"2018-01-22","Tallinn","FREDO Köök&Baar","Seenesupp",3
"2018-04-04","Tallinn","Tatari Söögituba","Lestafilee täidisega(L;G)",5.35
"2017-12-05","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Borš sealihaga",1.95
"2017-12-06","Tallinn","Vernalia kohvik","Seljanka",2
"2018-03-08","Tallinn","Kamikadze Grill","Seljanka",3
"2018-02-09","Tallinn","Ubin bistroo","Nuudli panniroog",4.5
"2018-06-25","Tallinn","iO restoran","Soome kalasupp",4
"2018-07-31","Tallinn","Tark Catering","Kalkunivardad laimi-jogurti marinaadis kuskussiga",5
"2018-05-11","Tallinn","Must Puudel","Pardivokk munanuudlitega",5.5
"2018-08-07","Tallinn","Tatari Söögituba","Päevapraad: Ungari guljašš(L;G)",3.65
"2017-12-28","Tallinn","Marii Bistroo","Paneeritud kala ta-tar kastmega",3.8
"2018-03-02","Tartu","Aardla TOIT","Grillvorstid majoneesikastmega",4
"2018-01-01","Tallinn","Fantaasia Resto","Päevasupp",3.5
"2018-06-22","Tallinn","Tark Catering","Veiseliha azuu makaronidega",5
"2017-12-19","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Grillitud kanafilee mango-jalopeno marinaadis",5.7
"2018-07-18","Tartu","Hot Pot","TAI. RED CURRY BEEF *** Vürtsikas roog kookospiima, seente, bambusevõrsete, aedviljade ja loomalihaga",4.5
"2018-05-24","Tartu","Sheriff Saloon","Komplektlõuna: Sealiha tomati-juustu katte ja keedukartulitega + põldmarjajäätis",4.9
"2018-01-22","Tallinn","Järve Amps","Pasta peekoni, brokoli ja porgandiga koorekastmes",3.9
"2018-05-02","Tallinn","Mets Restoran","Seašnitsel maapähkilpaneeringus",4.9
"2018-07-10","Tallinn","Jah Kallis!","Kana-seenesupp",3
"2018-02-02","Tartu","Fii Restoran","Tuunikalasalat marineeritud sibulaga",4.5
"2018-01-03","Tallinn","TTÜ peahoone Daily","Soe tortilja köögivilja - jalapeno täidisega",2.7
"2018-05-21","Tallinn","Ancho","Avokaado-tomati-jalapeno quesadilla friikatega",4.5
"2017-10-26","Tallinn","Galerii kohvik & bistroo","Kalasupp",2.7
"2018-04-26","Tallinn","iO restoran","Spaghetti Carbonara",4
"2018-04-02","Tallinn","Nipernaadi Restoran","Kana-aedviljapasta, juustulaastud, kõrvitsaseemned ja rukola",5
"2017-11-23","Tartu","Umb Roht","Vürtsikad hakklihapallid täisterapasta ja tomatikastmega",6
"2018-02-16","Tartu","Pahupidi Kohvik","Linna parim pasta (Vegan)",3.5
"2018-02-06","Tartu","Newton Kohvik","Punapeedi püreesupp",2.2
"2018-05-17","Tartu","Sauna Pubi","Kanarisotto, külmkastme ja toorsalatiga",3.5
"2018-08-06","Tartu","Kotka Kelder","Grillvorst väike/suur",3.3
"2017-11-16","Tallinn","City Plaza","Lasagne bolognese",4.4
"2018-03-08","Tallinn","Endla 4 Daily","Klassikaline ratatouille",2.9
"2018-08-08","Tallinn","Ubin bistroo","Kodune suvikõrvitsa- hakkliha kotlet",4.8
"2018-07-02","Tallinn","FREDO Köök&Baar","Seašnitsel seesami seemnetega, mädarõika kaste, ahjukartul, värskekapsa-porgandi salat",5.5
"2018-01-26","Tartu","Kivilinna kohvik","Maksa-suitsupeekonikaste",2.4
"2018-07-24","Tallinn","Restoran Masha","Klassikaline tomatisupp mozzarella juustu ja basiilikuga",2.5
"2018-04-17","Tartu","Sepa Kohvik","Kana-nuudlisupp",1.8
"2018-04-06","Tallinn","Malltop Restoran","Loomaliha koorekastmes",5.5
"2017-11-29","Tallinn","Fe Kohvik","Madalal temperatuuril küpsetatud veiseliha kartulipudru ja salatiga",4.3
"2018-04-06","Tallinn","Tervishoiu Kõrgkooli Daily","Plov kalkunilihaga",2.1
"2018-05-01","Tartu","Mandala Restoran","Chana alu kikerhernekarri kartuliga",3.5
"2018-03-13","Tallinn","F-hoone","Kana-nuudlisupp",2
"2017-11-30","Tallinn","Golden Goose","Kanaliha šašlõkk ,varske salat ja kaste",4.9
"2017-10-30","Tallinn","Ubin bistroo","Vürtsikas lambaliharoog",5.2
"2017-11-02","Tartu","Ülikooli kohvik","Kanapasta mozzarella ja köögiviljadega",4.5
"2017-10-25","Tallinn","Hiiu Pubi","Bouilabaisse",3
"2017-12-06","Tallinn","Al Mare Kohvik & Bistroo (Hallivanamehe)","Suitsukana-peekonipasta",3.9
"2018-02-05","Tartu","Suudlevad tudengid","Seljanka",2.5
"2018-01-15","Tallinn","Galerii kohvik & bistroo","Asuu veiselihast",4.3
"2018-01-02","Tallinn","Kohalik kohvik","Tomatine sealihapasta",4.5
"2018-01-30","Tallinn","Hr Mauruse Pubi","Kodused kotletid",3.7
