TOT_P_2018,TOT_P_2006,GRD_ID,TOT_P_2011
0,0,CRS3035RES1000mN3937000E5028000,0
6,10,CRS3035RES1000mN3937000E5029000,6
2,3,CRS3035RES1000mN3937000E5030000,0
1,0,CRS3035RES1000mN3937000E5031000,0
3,6,CRS3035RES1000mN3937000E5032000,2
1,0,CRS3035RES1000mN3937000E5033000,0
3,4,CRS3035RES1000mN3937000E5034000,3
3,0,CRS3035RES1000mN3937000E5035000,1
2,1,CRS3035RES1000mN3937000E5036000,0
6,6,CRS3035RES1000mN3937000E5037000,7
4,1,CRS3035RES1000mN3937000E5038000,3
3,3,CRS3035RES1000mN3937000E5039000,1
0,0,CRS3035RES1000mN3937000E5302000,0
5,24,CRS3035RES1000mN3937000E5303000,5
4,0,CRS3035RES1000mN3938000E5029000,0
12,24,CRS3035RES1000mN3938000E5030000,19
2,0,CRS3035RES1000mN3938000E5031000,0
3,3,CRS3035RES1000mN3938000E5032000,3
2,1,CRS3035RES1000mN3938000E5033000,0
0,0,CRS3035RES1000mN3938000E5034000,0
1,0,CRS3035RES1000mN3938000E5035000,0
3,1,CRS3035RES1000mN3938000E5036000,0
12,11,CRS3035RES1000mN3938000E5037000,12
3,5,CRS3035RES1000mN3938000E5038000,4
3,3,CRS3035RES1000mN3938000E5039000,1
0,0,CRS3035RES1000mN3938000E5300000,0
0,0,CRS3035RES1000mN3938000E5301000,0
0,0,CRS3035RES1000mN3938000E5302000,0
0,0,CRS3035RES1000mN3938000E5303000,0
0,0,CRS3035RES1000mN3938000E5304000,0
0,0,CRS3035RES1000mN3938000E5305000,0
0,1,CRS3035RES1000mN3938000E5306000,0
4,9,CRS3035RES1000mN3938000E5307000,0
1,0,CRS3035RES1000mN3939000E5029000,0
4,0,CRS3035RES1000mN3939000E5030000,0
3,5,CRS3035RES1000mN3939000E5031000,4
3,0,CRS3035RES1000mN3939000E5032000,0
0,0,CRS3035RES1000mN3939000E5033000,0
0,0,CRS3035RES1000mN3939000E5034000,0
0,0,CRS3035RES1000mN3939000E5035000,0
2,0,CRS3035RES1000mN3939000E5036000,0
8,4,CRS3035RES1000mN3939000E5037000,1
0,0,CRS3035RES1000mN3939000E5038000,0
0,0,CRS3035RES1000mN3939000E5299000,0
0,0,CRS3035RES1000mN3939000E5300000,0
0,0,CRS3035RES1000mN3939000E5301000,0
0,0,CRS3035RES1000mN3939000E5302000,0
0,0,CRS3035RES1000mN3939000E5303000,0
0,0,CRS3035RES1000mN3939000E5304000,0
1,0,CRS3035RES1000mN3939000E5305000,0
2,5,CRS3035RES1000mN3939000E5306000,5
1,0,CRS3035RES1000mN3939000E5307000,0
0,0,CRS3035RES1000mN3940000E5029000,0
2,1,CRS3035RES1000mN3940000E5030000,0
7,6,CRS3035RES1000mN3940000E5031000,6
6,6,CRS3035RES1000mN3940000E5032000,7
2,0,CRS3035RES1000mN3940000E5033000,0
0,0,CRS3035RES1000mN3940000E5034000,0
0,0,CRS3035RES1000mN3940000E5035000,0
1,0,CRS3035RES1000mN3940000E5036000,0
2,0,CRS3035RES1000mN3940000E5037000,0
1,0,CRS3035RES1000mN3940000E5038000,0
0,0,CRS3035RES1000mN3940000E5299000,0
0,0,CRS3035RES1000mN3940000E5300000,0
0,0,CRS3035RES1000mN3940000E5301000,0
0,0,CRS3035RES1000mN3940000E5302000,0
0,0,CRS3035RES1000mN3940000E5303000,0
0,0,CRS3035RES1000mN3940000E5304000,0
0,0,CRS3035RES1000mN3940000E5305000,0
0,0,CRS3035RES1000mN3940000E5306000,0
0,0,CRS3035RES1000mN3940000E5307000,0
3,2,CRS3035RES1000mN3941000E5030000,0
8,4,CRS3035RES1000mN3941000E5031000,3
7,8,CRS3035RES1000mN3941000E5032000,13
2,0,CRS3035RES1000mN3941000E5033000,0
2,0,CRS3035RES1000mN3941000E5034000,0
1,0,CRS3035RES1000mN3941000E5035000,0
0,0,CRS3035RES1000mN3941000E5036000,0
0,0,CRS3035RES1000mN3941000E5037000,0
0,0,CRS3035RES1000mN3941000E5038000,0
0,0,CRS3035RES1000mN3941000E5298000,0
2,0,CRS3035RES1000mN3941000E5299000,0
8,9,CRS3035RES1000mN3941000E5300000,7
2,0,CRS3035RES1000mN3941000E5301000,0
2,0,CRS3035RES1000mN3941000E5302000,0
0,0,CRS3035RES1000mN3941000E5303000,0
2,5,CRS3035RES1000mN3941000E5304000,3
3,0,CRS3035RES1000mN3941000E5305000,0
1,0,CRS3035RES1000mN3941000E5306000,0
2,0,CRS3035RES1000mN3941000E5307000,0
1,1,CRS3035RES1000mN3942000E5030000,0
6,8,CRS3035RES1000mN3942000E5031000,7
3,0,CRS3035RES1000mN3942000E5032000,0
3,0,CRS3035RES1000mN3942000E5033000,0
3,0,CRS3035RES1000mN3942000E5034000,0
0,3,CRS3035RES1000mN3942000E5035000,2
0,0,CRS3035RES1000mN3942000E5036000,0
1,0,CRS3035RES1000mN3942000E5037000,0
3,5,CRS3035RES1000mN3942000E5038000,3
1,0,CRS3035RES1000mN3942000E5286000,0
2,0,CRS3035RES1000mN3942000E5287000,5
6,11,CRS3035RES1000mN3942000E5288000,5
0,0,CRS3035RES1000mN3942000E5289000,0
0,0,CRS3035RES1000mN3942000E5290000,0
0,0,CRS3035RES1000mN3942000E5291000,0
0,0,CRS3035RES1000mN3942000E5292000,0
0,0,CRS3035RES1000mN3942000E5293000,0
0,0,CRS3035RES1000mN3942000E5294000,0
0,0,CRS3035RES1000mN3942000E5295000,0
2,0,CRS3035RES1000mN3942000E5297000,0
0,0,CRS3035RES1000mN3942000E5298000,0
3,4,CRS3035RES1000mN3942000E5299000,0
3,4,CRS3035RES1000mN3942000E5300000,3
3,4,CRS3035RES1000mN3942000E5301000,2
3,3,CRS3035RES1000mN3942000E5302000,5
12,3,CRS3035RES1000mN3942000E5303000,19
2,0,CRS3035RES1000mN3942000E5304000,0
0,0,CRS3035RES1000mN3942000E5305000,0
0,0,CRS3035RES1000mN3942000E5306000,0
1,2,CRS3035RES1000mN3942000E5307000,2
2,0,CRS3035RES1000mN3942000E5308000,0
1,0,CRS3035RES1000mN3943000E5030000,0
5,5,CRS3035RES1000mN3943000E5031000,4
3,3,CRS3035RES1000mN3943000E5032000,1
3,0,CRS3035RES1000mN3943000E5033000,0
3,1,CRS3035RES1000mN3943000E5034000,0
0,0,CRS3035RES1000mN3943000E5035000,0
0,0,CRS3035RES1000mN3943000E5036000,0
2,2,CRS3035RES1000mN3943000E5037000,2
4,2,CRS3035RES1000mN3943000E5038000,3
6,5,CRS3035RES1000mN3943000E5039000,7
0,0,CRS3035RES1000mN3943000E5285000,0
1,0,CRS3035RES1000mN3943000E5286000,0
4,3,CRS3035RES1000mN3943000E5287000,3
2,7,CRS3035RES1000mN3943000E5288000,6
1,0,CRS3035RES1000mN3943000E5289000,0
2,0,CRS3035RES1000mN3943000E5290000,0
0,0,CRS3035RES1000mN3943000E5291000,0
0,0,CRS3035RES1000mN3943000E5292000,0
0,0,CRS3035RES1000mN3943000E5293000,0
0,0,CRS3035RES1000mN3943000E5294000,0
0,0,CRS3035RES1000mN3943000E5295000,0
0,0,CRS3035RES1000mN3943000E5296000,0
1,1,CRS3035RES1000mN3943000E5297000,0
1,0,CRS3035RES1000mN3943000E5298000,0
4,0,CRS3035RES1000mN3943000E5299000,0
7,4,CRS3035RES1000mN3943000E5300000,4
12,22,CRS3035RES1000mN3943000E5301000,13
3,3,CRS3035RES1000mN3943000E5302000,2
3,2,CRS3035RES1000mN3943000E5303000,3
1,0,CRS3035RES1000mN3943000E5304000,0
0,0,CRS3035RES1000mN3943000E5305000,0
0,0,CRS3035RES1000mN3943000E5306000,0
0,0,CRS3035RES1000mN3943000E5307000,0
0,0,CRS3035RES1000mN3943000E5308000,0
5,11,CRS3035RES1000mN3943000E5309000,0
0,0,CRS3035RES1000mN3944000E5029000,0
1,0,CRS3035RES1000mN3944000E5030000,0
2,2,CRS3035RES1000mN3944000E5031000,0
3,0,CRS3035RES1000mN3944000E5032000,0
4,2,CRS3035RES1000mN3944000E5033000,2
4,2,CRS3035RES1000mN3944000E5034000,1
1,0,CRS3035RES1000mN3944000E5035000,0
0,0,CRS3035RES1000mN3944000E5036000,0
1,0,CRS3035RES1000mN3944000E5037000,0
5,0,CRS3035RES1000mN3944000E5038000,0
5,2,CRS3035RES1000mN3944000E5039000,3
0,0,CRS3035RES1000mN3944000E5040000,0
0,0,CRS3035RES1000mN3944000E5283000,0
