"x","y","arv06","arv11","arv18"
5306000,3941000,0,0,1
5307000,3941000,0,0,2
5030000,3942000,1,0,1
5031000,3942000,8,7,6
5032000,3942000,0,0,3
5033000,3942000,0,0,3
5034000,3942000,0,0,3
5035000,3942000,3,2,0
5036000,3942000,0,0,0
5037000,3942000,0,0,1
5038000,3942000,5,3,3
5286000,3942000,0,0,1
5287000,3942000,0,5,2
5288000,3942000,11,5,6
5289000,3942000,0,0,0
5290000,3942000,0,0,0
5291000,3942000,0,0,0
5292000,3942000,0,0,0
5293000,3942000,0,0,0
5294000,3942000,0,0,0
5295000,3942000,0,0,0
5297000,3942000,0,0,2
5298000,3942000,0,0,0
5299000,3942000,4,0,3
5300000,3942000,4,3,3
5301000,3942000,4,2,3
5302000,3942000,3,5,3
5303000,3942000,3,19,12
5304000,3942000,0,0,2
5305000,3942000,0,0,0
5306000,3942000,0,0,0
5307000,3942000,2,2,1
5308000,3942000,0,0,2
5030000,3943000,0,0,1
5031000,3943000,5,4,5
5032000,3943000,3,1,3
5033000,3943000,0,0,3
5034000,3943000,1,0,3
5035000,3943000,0,0,0
5036000,3943000,0,0,0
5037000,3943000,2,2,2
5038000,3943000,2,3,4
5039000,3943000,5,7,6
5285000,3943000,0,0,0
5286000,3943000,0,0,1
5287000,3943000,3,3,4
5288000,3943000,7,6,2
5289000,3943000,0,0,1
5290000,3943000,0,0,2
5291000,3943000,0,0,0
5292000,3943000,0,0,0
5293000,3943000,0,0,0
5294000,3943000,0,0,0
5295000,3943000,0,0,0
5296000,3943000,0,0,0
5297000,3943000,1,0,1
5298000,3943000,0,0,1
5299000,3943000,0,0,4
5300000,3943000,4,4,7
5301000,3943000,22,13,12
5302000,3943000,3,2,3
5303000,3943000,2,3,3
5304000,3943000,0,0,1
5305000,3943000,0,0,0
5306000,3943000,0,0,0
5307000,3943000,0,0,0
5308000,3943000,0,0,0
5309000,3943000,11,0,5
5029000,3944000,0,0,0
5030000,3944000,0,0,1
5031000,3944000,2,0,2
5032000,3944000,0,0,3
5033000,3944000,2,2,4
5034000,3944000,2,1,4
5035000,3944000,0,0,1
5036000,3944000,0,0,0
5037000,3944000,0,0,1
5038000,3944000,0,0,5
5039000,3944000,2,3,5
5040000,3944000,0,0,0
5283000,3944000,0,0,0
5284000,3944000,0,0,2
5285000,3944000,0,0,1
5286000,3944000,0,0,1
5287000,3944000,0,0,2
5288000,3944000,3,2,3
5289000,3944000,46,96,36
5290000,3944000,0,0,0
5291000,3944000,0,0,1
5292000,3944000,3,2,1
5293000,3944000,0,0,0
5294000,3944000,0,0,0
5295000,3944000,0,0,0
5296000,3944000,0,0,0
5297000,3944000,0,0,1
5298000,3944000,0,0,1
5299000,3944000,4,3,2
5300000,3944000,17,7,13
5301000,3944000,7,5,11
5302000,3944000,10,14,5
5303000,3944000,2,0,3
5304000,3944000,3,3,3
5305000,3944000,1,0,2
5306000,3944000,0,0,0
5307000,3944000,0,0,1
5308000,3944000,3,2,1
5309000,3944000,7,4,2
5030000,3945000,0,0,2
5031000,3945000,2,0,2
5032000,3945000,6,6,3
5033000,3945000,6,4,2
5034000,3945000,0,0,2
5035000,3945000,0,0,3
5036000,3945000,0,0,2
5037000,3945000,0,0,2
5038000,3945000,0,0,1
5039000,3945000,0,0,2
5040000,3945000,0,0,2
5283000,3945000,0,0,1
5284000,3945000,0,0,0
5285000,3945000,0,0,0
5286000,3945000,0,0,0
5287000,3945000,0,0,0
5288000,3945000,6,3,4
5289000,3945000,7,6,6
5290000,3945000,10,6,0
5291000,3945000,0,0,1
5292000,3945000,0,0,4
5293000,3945000,0,0,1
5294000,3945000,0,0,1
5295000,3945000,0,0,0
5296000,3945000,0,0,1
5297000,3945000,0,0,21
5298000,3945000,8,6,16
5299000,3945000,19,10,3
5300000,3945000,26,21,18
5301000,3945000,8,3,4
5302000,3945000,8,1,5
5303000,3945000,0,0,6
5304000,3945000,7,0,6
5305000,3945000,3,2,0
5306000,3945000,0,0,0
5307000,3945000,5,5,8
5308000,3945000,16,15,24
5309000,3945000,3,2,0
5310000,3945000,9,5,5
5311000,3945000,0,0,1
5030000,3946000,0,0,1
5031000,3946000,6,3,3
5032000,3946000,7,11,14
5033000,3946000,13,12,12
5034000,3946000,0,0,3
5036000,3946000,0,0,2
5037000,3946000,0,0,1
5038000,3946000,3,1,2
5039000,3946000,0,0,1
5282000,3946000,0,5,3
5283000,3946000,0,0,2
5284000,3946000,0,0,0
5285000,3946000,0,0,0
5286000,3946000,0,0,0
5287000,3946000,0,0,0
5288000,3946000,0,0,3
5289000,3946000,3,3,10
5290000,3946000,16,14,17
5291000,3946000,4,1,2
5292000,3946000,50,36,92
5293000,3946000,7,5,10
5294000,3946000,10,4,7
5295000,3946000,28,34,16
5296000,3946000,0,5,8
5297000,3946000,101,103,56
5298000,3946000,15,10,15
5299000,3946000,5,7,3
5300000,3946000,1,1,2
5301000,3946000,9,4,19
5302000,3946000,16,10,4
5303000,3946000,1,5,3
5304000,3946000,1,0,2
5305000,3946000,0,0,1
5306000,3946000,7,6,0
5307000,3946000,1,0,1
5308000,3946000,9,7,4
5309000,3946000,2,2,3
5310000,3946000,1,0,2
5311000,3946000,2,1,2
5312000,3946000,0,0,2
5314000,3946000,0,0,0
5315000,3946000,0,0,0
5031000,3947000,0,0,2
5032000,3947000,0,0,8
5033000,3947000,0,0,1
5036000,3947000,0,0,1
5037000,3947000,0,0,0
5038000,3947000,1,0,3
5039000,3947000,0,0,0
5282000,3947000,0,5,0
5283000,3947000,0,0,0
5284000,3947000,0,0,1
5285000,3947000,0,0,2
5286000,3947000,0,0,2
5287000,3947000,0,0,1
5288000,3947000,65,45,53
5289000,3947000,9,13,5
5290000,3947000,1,0,3
5291000,3947000,7,4,2
5292000,3947000,95,68,32
5293000,3947000,33,19,19
5294000,3947000,6,3,3
5295000,3947000,2,1,3
5296000,3947000,0,0,6
5297000,3947000,0,0,0
5298000,3947000,0,0,2
5299000,3947000,22,18,22
5300000,3947000,26,23,19
5301000,3947000,28,19,18
5302000,3947000,25,19,30
5303000,3947000,6,7,5
5304000,3947000,4,2,3
5305000,3947000,4,3,6
5306000,3947000,10,4,3
5307000,3947000,5,8,15
5308000,3947000,6,2,7
5309000,3947000,0,0,1
5310000,3947000,0,0,0
5311000,3947000,0,0,3
5312000,3947000,4,3,4
5313000,3947000,0,0,3
5314000,3947000,0,0,1
5315000,3947000,0,0,0
5316000,3947000,0,0,0
5032000,3948000,0,0,0
5035000,3948000,0,0,0
5036000,3948000,0,4,2
5037000,3948000,0,0,1
5038000,3948000,4,4,1
5039000,3948000,3,2,4
5040000,3948000,0,0,2
5170000,3948000,0,12,15
5171000,3948000,1,0,0
5281000,3948000,0,5,3
5282000,3948000,0,0,1
5283000,3948000,2,2,2
5284000,3948000,6,5,7
5285000,3948000,10,5,5
5286000,3948000,2,1,11
5287000,3948000,24,6,5
5288000,3948000,14,9,2
5289000,3948000,0,0,0
5290000,3948000,0,0,1
5291000,3948000,0,0,1
5292000,3948000,9,7,3
5293000,3948000,19,17,5
5294000,3948000,1,4,3
5295000,3948000,3,3,3
5296000,3948000,3,2,3
5297000,3948000,0,0,1
5298000,3948000,0,0,1
5299000,3948000,4,2,2
5300000,3948000,0,0,2
5301000,3948000,26,23,35
5302000,3948000,28,49,48
5303000,3948000,0,0,1
5304000,3948000,20,17,12
5305000,3948000,9,5,11
5306000,3948000,0,0,0
5307000,3948000,5,2,3
5308000,3948000,3,0,0
5309000,3948000,1,0,3
5310000,3948000,5,5,3
5311000,3948000,6,5,4
5312000,3948000,9,8,7
5313000,3948000,16,9,5
5314000,3948000,2,0,3
5315000,3948000,4,3,3
5316000,3948000,0,0,0
5032000,3949000,0,0,0
5035000,3949000,0,0,0
