"x","y","maakond","registreeriti","loomad"
645030,6414278,"võru maakond","2003","munakana"
655844,6408519,"võru maakond","2003","veis"
682406,6426859,"võru maakond","2003","lammas;munakana;part;veis"
661450,6405512,"võru maakond","2003","munakana;veis"
652137,6415144,"võru maakond","2003",""
694268,6409453,"võru maakond","2003","munakana"
679400,6390132,"võru maakond","2003","veis"
684160,6424994,"võru maakond","2003","munakana;veis"
654275,6408770,"võru maakond","2003","veis"
675631,6395502,"võru maakond","2003","veis"
661990,6396633,"võru maakond","2003","hobune;kalkun;munakana;parlkana"
649601,6403409,"võru maakond","2003","veis"
650480,6422678,"võru maakond","2003","lammas;munakana"
683304,6411749,"võru maakond","2003","munakana"
659308,6424351,"võru maakond","2003","munakana;veis"
675496,6408715,"võru maakond","2003","lammas"
675147,6415304,"võru maakond","2003","munakana;veis"
681857,6422094,"võru maakond","2003","lammas;munakana"
649560,6429464,"valga maakond","2003","munakana"
645811,6426016,"valga maakond","2003","munakana;veis"
652587,6429368,"valga maakond","2003","kits"
652065,6428604,"valga maakond","2003","munakana"
697553,6406907,"võru maakond","2003","munakana"
634591,6403450,"valga maakond","2003",""
684412,6395399,"võru maakond","2003","lammas;munakana;veis"
672313,6403263,"võru maakond","2003","veis"
651604,6382996,"võru maakond","2003","lammas"
692389,6395938,"võru maakond","2003","lammas"
648385,6414194,"võru maakond","2003","lammas;munakana"
662405,6398816,"võru maakond","2003","lammas;munakana"
686118,6411898,"võru maakond","2003","veis"
636310,6423280,"valga maakond","2003",""
629810,6407220,"valga maakond","2003",""
621840,6419771,"valga maakond","2003","veis"
703908,6406720,"võru maakond","2003","lammas"
683068,6411382,"võru maakond","2003","lammas"
649292,6385441,"võru maakond","2003","lammas;munakana"
663433,6421910,"võru maakond","2003","lammas;veis"
662452,6399616,"võru maakond","2003","veis"
662463,6399650,"võru maakond","2003","veis"
635097,6423107,"valga maakond","2003","munakana"
669102,6418403,"võru maakond","2003","veis"
639687,6421036,"valga maakond","2003","lammas;mesilane"
655937,6388855,"võru maakond","2003","munakana"
635642,6417550,"valga maakond","2003","munakana;veis"
635180,6422490,"valga maakond","2003","veis"
634840,6422150,"valga maakond","2003","veis"
657125,6404337,"võru maakond","2003","munakana"
620742,6424959,"valga maakond","2003","lammas"
