"lon","lat","nädalapäev","sündmus","koht","kahjusumma"
535000,6579000,"Laupäev","vandalism","avalik_koht","0-499"
647000,6438000,"Laupäev","vandalism","avalik_koht","0-499"
541500,6589000,"Neljapäev","vandalism","avalik_koht,soogikoht","0-499"
550000,6590000,"Kolmapäev","vandalism","avalik_koht","0-499"
550000,6590000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
539000,6589500,"Teisipäev","vandalism","avalik_koht,kiosk","0-499"
638000,6516000,"Esmaspäev","vandalism","avalik_koht","0-499"
543000,6588000,"Pühapäev","vandalism","avalik_koht,kaubamaja","0-499"
550000,6590500,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
544000,6588000,"Laupäev","vandalism","avalik_koht,parkla","0-499"
542500,6588500,"Laupäev","vandalism","avalik_koht,tanav_valjak","0-499"
609000,6433000,"Pühapäev","vandalism","avalik_koht","0-499"
541000,6589000,"Reede","vandalism","avalik_koht,tootmis_tooruum","0-499"
545000,6540000,"Teisipäev","avaliku_korra_rikkumine,vandalism","oppeasutus_selle_territoorium","0-499"
549000,6590500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6589000,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
543000,6589500,"Neljapäev","vandalism","avalik_koht,kauplus","0-499"
542000,6589000,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
542500,6588500,"Neljapäev","vandalism","avalik_koht,tanav_valjak","0-499"
513000,6549000,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","500-4999"
503000,6578500,"Teisipäev","vandalism","avalik_koht","0-499"
543000,6588000,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
536500,6587500,"Esmaspäev","vandalism","avalik_koht,tanav_valjak","0-499"
540500,6588500,"Laupäev","vandalism","avalik_koht,kauplus","0-499"
542000,6588500,"Reede","vandalism","avalik_koht,oueala_lahtine_hoov","0-499"
544500,6587500,"Teisipäev","vandalism,vargus","avalik_koht,tanav_valjak","0-499"
536000,6586000,"Pühapäev","vandalism","avalik_koht,ouealatee","0-499"
408000,6471000,"Reede","vandalism","avalik_koht,teeaarne_puhkekoht","0-499"
542000,6588500,"Teisipäev","vandalism","avalik_koht","0-499"
592000,6471000,"Esmaspäev","vandalism","avalik_koht,muu koht","0-499"
541500,6587500,"Esmaspäev","vandalism","avalik_koht,parkla","0-499"
547500,6590000,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
529000,6471500,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
548000,6589500,"Laupäev","muu,vandalism","avalik_koht,parkla,tanav_valjak","0-499"
544500,6588500,"Reede","vandalism","avalik_koht,tanav_valjak","0-499"
539000,6589500,"Neljapäev","vandalism","avalik_koht,parkla,tanav_valjak","0-499"
538500,6589500,"Kolmapäev","vandalism","avalik_koht,tanav_valjak","0-499"
549500,6590000,"Teisipäev","vandalism","avalik_koht,tanav_valjak","0-499"
