"make","model","price.usd","year","condition","mileage.km","fuel","volume.l","color","transmission","drive"
"audi","a4",5700,2002,"with mileage",405000,"diesel",2.5,"silver","auto","front-wheel drive"
"gaz","3110",750,1998,"with mileage",11111,"petrol",2.4,"silver","mechanics","rear drive"
"volkswagen","phaeton",6500,2003,"with mileage",180000,"petrol",3.2,"silver","auto","front-wheel drive"
"honda","cr-v",17000,2012,"with mileage",95000,"petrol",2,"black","auto","part-time four-wheel drive"
"renault","logan",6500,2017,"with mileage",140000,"petrol",1.6,"white","mechanics","front-wheel drive"
"ford","mondeo",4500,2001,"with mileage",222000,"petrol",2,"silver","mechanics","front-wheel drive"
"citroen","c5",4150,2001,"with mileage",296000,"diesel",2,"other","mechanics","front-wheel drive"
"toyota","camry",7800,2007,"with mileage",195000,"petrol",2.4,"black","auto","front-wheel drive"
"great-wall","hover",6300,2008,"with mileage",153000,"diesel",2.8,"black","mechanics","part-time four-wheel drive"
"peugeot","406",2500,1999,"with mileage",240000,"petrol",1.8,"gray","mechanics","front-wheel drive"
"kia","sorento",6000,2002,"with mileage",305000,"diesel",2.5,"white","mechanics","rear drive"
"nissan","primera",5100,2005,"with mileage",260000,"petrol",1.8,"silver","mechanics","front-wheel drive"
"opel","zafira",8650,2011,"with mileage",165,"petrol",1.796,"black","mechanics","front-wheel drive"
"ford","fiesta",13300,2019,"with mileage",14750,"petrol",1.6,"white","auto","front-wheel drive"
"nissan","qashqai",11300,2012,"with mileage",132500,"petrol",1.6,"purple","mechanics","front-wheel drive"
"volkswagen","passat",1800,1993,"with mileage",400000,"petrol",1.8,"burgundy","mechanics","front-wheel drive"
"toyota","carina-e",1300,1993,"with mileage",430778,"diesel",2,"black","mechanics","front-wheel drive"
"volkswagen","touran",10299,2010,"with mileage",180000,"petrol",1.4,"black","mechanics","front-wheel drive"
"kia","shuma",800,1999,"with mileage",212000,"petrol",1.5,"blue","auto","front-wheel drive"
"lada-vaz","2113",2300,2011,"with mileage",160000,"petrol",1.6,"silver","mechanics","front-wheel drive"
"toyota","camry",8500,2007,"with mileage",289.6812,"petrol",2.4,"gray","auto","front-wheel drive"
"mercedes-benz","190-w201",2500,1990,"with mileage",400000,"petrol",2,"silver","mechanics","rear drive"
"mini","cooper",4000,2001,"with mileage",243408,"petrol",1.6,"black","mechanics","front-wheel drive"
"citroen","c3-picasso",7500,2012,"with mileage",91300,"petrol",1.6,"black","auto","front-wheel drive"
"renault","megane",3950,2003,"with mileage",250000,"petrol",1.6,"silver","mechanics","front-wheel drive"
"audi","a5",12200,2011,"with mileage",73000,"petrol",2,"black","auto","all-wheel drive"
"opel","omega",1236,1994,"with mileage",30000,"petrol",2,"blue","mechanics","rear drive"
"citroen","c-crosser",12250,2011,"with mileage",174000,"petrol",2,"black","auto","part-time four-wheel drive"
"ford","transit-connect",2650,2002,"with mileage",580000,"diesel",2.5,"other","mechanics","rear drive"
"bmw","x5",18900,2012,"with mileage",134000,"petrol",4.4,"black","auto","part-time four-wheel drive"
"land-rover","range-rover-sport",49950,2016,"with mileage",78000,"diesel",3,"white","auto","all-wheel drive"
"mercedes-benz","c-klass",24000,2014,"with mileage",80000,"petrol",1.6,"white","auto","front-wheel drive"
"toyota","corolla",2500,1995,"with mileage",395000,"petrol",1.3,"red","auto","front-wheel drive"
"honda","civic",5450,2008,"with mileage",280000,"petrol",1.3,"blue","auto","front-wheel drive"
"volkswagen","golf",500,1988,"for parts",320000,"diesel",1.6,"blue","mechanics","front-wheel drive"
"mercedes-benz","e-klass",850,1987,"with mileage",350000,"petrol",3,"silver","auto","rear drive"
"ford","explorer",7500,2002,"with mileage",225,"petrol",4,"white","auto","part-time four-wheel drive"
"ford","focus",4700,2005,"with mileage",185000,"petrol",1.4,"white","mechanics","front-wheel drive"
